toy,-2.2681,-1.1220,-0.7372,0.6331,2.7661,0.4357,0.1233,0.9438,1.1026,-0.0064,0.1472,1.0514,0.9795,0.3666,0.8867,-0.7812,1.6325,-0.0543,2.9027,0.4305,-0.1231,0.2211,1.4554,-2.3267,3.3072,1.3976,2.7904,0.0026,-3.5853,-1.3379,1.0102,-2.9626,-0.2713,1.2275,6.0579,0.3946,-1.5263,3.8689,-0.6976,-1.6909,0.1880,0.3543,0.7518,1.0628,-0.4517,0.1200,-0.3393,-0.3726,2.3130,-2.7437
toy,-2.3288,-1.5947,-0.3694,-0.1345,2.7636,0.4459,-0.0785,-0.5343,0.6582,-1.0411,0.0073,0.9825,0.3052,1.2048,0.0230,-1.5922,0.5413,-1.5733,1.6758,1.6357,-0.0654,0.4395,1.2377,-0.4720,3.0115,2.4499,1.9455,0.2447,-2.8676,-0.2587,1.3667,-2.4488,0.0694,1.0250,4.7123,0.0226,-0.2515,3.5788,0.3889,-1.6288,-0.2290,0.3707,-0.3708,1.8544,-0.8428,0.5539,-0.4562,-1.6597,1.6421,-2.2574
toy,-0.9041,-1.7459,-1.1793,2.1209,1.8840,-0.4376,-0.0534,-0.7120,1.2198,-0.9964,0.2428,0.4782,1.0321,0.5372,1.3536,-1.5026,2.5050,-1.4110,1.4465,0.8013,1.2017,0.8652,1.1170,0.0134,3.5967,1.4106,0.1704,1.0577,-3.3397,1.2330,-0.2361,-0.7425,0.0736,0.4070,3.6066,-0.6767,-0.8094,1.0283,-1.7128,-0.2019,0.6165,0.5460,-0.0468,1.0836,0.8033,-0.0781,-0.2501,-0.8992,1.5135,-2.2821
toy,-0.5606,-4.0690,-1.1900,2.9820,-2.3560,-2.1683,2.7732,-4.6884,0.1720,-2.2076,1.5776,-3.0032,-1.0113,0.4959,4.6535,-1.6370,2.8736,-4.4433,-3.7403,2.6287,2.8259,-0.3967,-1.8876,3.3281,-1.3192,0.7858,-0.7564,0.4727,-2.7359,2.9307,-0.5922,0.6057,2.0498,-0.6521,-0.7469,-1.5460,0.0042,0.4559,-0.7917,0.8198,-0.6050,1.0706,-1.5584,-1.8676,-0.4670,0.9808,-0.5369,-2.9853,-0.7739,-0.9181
toy,-1.8463,-3.1681,-1.2411,3.2919,-1.1189,-3.1064,3.1691,-3.6077,0.5987,-1.7655,1.1905,-1.3487,-0.7344,0.5008,3.5994,-1.7792,2.0381,-4.1442,-2.3315,3.4332,3.1389,-0.0598,-1.9155,2.6262,-1.5457,0.3311,-0.3468,2.1465,-3.1100,1.8982,1.3226,1.5018,0.5064,-0.1563,0.1134,-2.2333,-0.6220,1.6000,-0.1577,0.4332,0.1102,0.0479,-0.7794,-0.7529,-0.2864,0.2301,0.4906,-0.7349,0.0994,-0.5991
toy,-1.6904,-2.7394,-2.3386,1.2097,2.2297,-2.3349,1.0492,-1.5709,0.8569,-0.9770,1.3175,1.2542,0.0313,0.7546,1.3236,-1.3303,0.7102,-2.8609,1.4064,3.2104,0.3508,1.4037,-0.0195,-0.7267,0.7477,1.1571,2.2019,1.8876,-3.9865,-1.2162,4.0610,-0.7961,0.3199,-0.0102,3.7350,-1.9714,-1.6257,4.1878,1.7203,-1.7199,-0.5097,0.8475,-0.6093,1.3743,0.0197,-1.2832,1.2096,-0.6740,2.6063,-1.2317
glove,1.5005,-1.2861,1.4409,11.0422,-17.4691,0.8222,8.5133,-4.6523,2.0223,0.7549,-4.7116,-23.0516,-7.9443,1.1908,6.2115,4.0622,7.9467,-6.6052,-12.7193,-19.3593,5.4156,-11.6976,-7.4940,16.2151,-7.8397,-2.5520,-8.7061,-10.7905,7.8578,14.6724,-23.4448,2.3565,5.0832,-0.5091,-9.3540,3.7590,4.1718,-15.1611,-19.7743,-1.2261,7.7784,-6.5204,1.9568,-15.5063,-5.0384,-4.9961,-11.4688,-9.5770,-11.3529,-1.5052
glove,3.7472,-0.0838,-2.0689,8.8311,-3.7364,-3.0931,3.7767,-2.7493,1.1591,3.2202,0.0490,-6.4704,-2.3857,-0.8436,3.8505,-1.4355,8.5911,-3.0782,-4.0095,-8.1674,-1.6815,-5.0717,-3.1149,6.9172,-2.9961,-0.7868,-1.4198,-4.8922,4.3304,5.6289,-8.1530,0.2503,1.2562,2.4810,-0.0709,0.2081,1.2884,-3.8334,-6.5693,-1.5969,3.8219,1.1160,1.1750,-2.4369,-1.3837,-2.6865,-4.1428,-4.7213,-3.1314,-0.1737
glove,3.4087,1.7777,0.5573,0.7144,-1.6328,-0.1818,-1.3640,0.5631,-1.5913,3.2778,-2.4818,-2.9671,-2.3752,-0.3763,2.6244,1.7843,0.7932,0.2109,-2.3269,-6.4938,-0.9809,-1.8214,-0.4815,3.8702,-0.4924,-0.3712,-1.7607,-3.5456,5.4911,3.1702,-6.0148,-0.8811,-0.2207,3.3634,-0.0326,-0.4841,2.6755,-3.4053,-5.3123,-4.3069,3.1623,-2.2532,1.7119,1.6992,-1.8627,2.3392,-4.0383,-2.1750,-1.0648,1.3279
glove,13.5652,2.9925,-2.1733,1.7964,-9.6221,-7.3554,-0.8935,-6.1045,-2.0373,10.9786,-1.9558,-12.5546,-6.7081,-4.7147,4.1403,0.9277,-0.7952,-4.8754,-8.4925,-13.0690,-0.8599,-10.8452,-4.9959,12.8033,-14.2317,-1.8780,-8.8182,-6.6798,15.7728,10.7499,-17.6914,-3.8686,1.9990,1.3204,-7.0882,0.5390,8.7138,-8.3390,-11.0137,-6.8979,6.9820,-4.2661,-0.1947,-1.2158,-8.2412,6.3531,-5.6380,-5.1333,-7.4958,8.1571
glove,8.3161,1.6470,-4.5612,13.3059,-9.3917,-5.7972,6.0299,-5.5652,1.9229,7.5030,2.5994,-12.6836,-2.0884,-6.4338,7.4611,-2.7382,9.5493,-3.8908,-8.4565,-12.5822,0.0792,-8.6034,-3.3582,15.6422,-7.0350,-4.9253,-9.7867,-6.1583,9.8368,13.0807,-14.8201,5.2933,0.3633,-0.0643,-7.8820,-0.6424,5.9823,-9.6405,-12.3265,-0.3910,5.0569,2.0737,-1.5909,-9.3904,-3.5727,-0.0587,-8.6170,-0.0543,-9.1498,1.9760
glove,8.2881,1.6509,-4.5173,13.3495,-9.4606,-5.7875,6.1140,-5.5655,1.8920,7.4885,2.5824,-12.7199,-2.0836,-6.4692,7.4193,-2.7001,9.5319,-3.8506,-8.5315,-12.6647,0.0266,-8.6420,-3.3681,15.7059,-7.0854,-4.9350,-9.8174,-6.1530,9.8647,13.0851,-14.9330,5.2672,0.4066,-0.0344,-7.8932,-0.6161,5.9706,-9.6762,-12.4680,-0.4168,5.1241,2.0134,-1.5349,-9.4385,-3.5681,-0.1231,-8.6617,-0.0535,-9.1781,1.9779
glove,21.4491,-1.6187,0.6347,8.1712,-16.0755,-7.7722,-2.5434,-6.8234,-2.1367,9.8333,-11.1701,-22.7378,-13.4851,-5.0339,16.0628,0.0478,1.0246,-9.5873,-15.8487,-20.3578,10.6615,-18.2491,-8.6189,18.4224,-16.4296,-2.0901,-9.9013,-13.0202,19.2942,19.2554,-27.3112,-5.7522,5.9314,2.9045,-12.5758,-0.4943,9.9024,-14.5978,-15.9133,-11.0747,4.9123,-10.7558,-0.6984,1.3543,-12.9771,12.9810,-8.1072,-12.7999,-13.3124,10.3396
hammer,9.8950,13.7188,4.1602,8.0003,-12.6732,2.5000,6.3327,2.7010,-0.3843,7.4186,-0.9395,-18.8600,-9.9853,-5.9449,4.9579,3.6019,10.6634,0.6934,-10.2301,-21.0488,-1.3059,-16.5264,-4.3706,19.8057,-5.9760,-6.9130,-11.9102,-11.5536,18.9694,11.5608,-23.7343,8.6442,-1.8700,4.5014,-9.5965,4.8109,10.1111,-15.1247,-17.1137,-7.5150,7.7382,-9.9374,5.1465,-14.3095,-12.1247,-3.7301,-11.8485,-1.2734,-12.5961,8.4661
hammer,8.5940,13.3544,3.7980,5.3128,-12.4750,1.9893,5.7527,1.8556,-2.2101,9.1881,0.8768,-15.7904,-8.8188,-7.0027,4.9298,4.7759,10.6084,1.7561,-8.7628,-17.8179,-1.7183,-15.6338,-3.6006,19.9415,-9.0000,-6.8110,-10.5703,-11.0840,19.4545,12.5486,-18.5662,9.0627,-1.4241,2.9175,-10.2264,3.3790,9.9141,-12.4369,-13.8294,-8.2192,7.9906,-9.0912,3.7517,-13.5894,-11.9909,-4.2530,-12.2622,0.4314,-10.7041,7.8726
