box,0.781421,3.25467,4.5348,7.11654,-13.1043,-8.76309,13.0817,1.07255,0.866035
box,0.752922,2.45689,3.86969,5.67249,-10.4689,-7.11561,-10.9231,1.26238,0.812018
box,0.782691,3.27644,4.81739,7.89995,-14.2993,9.65489,14.6424,1.05373,0.804686
box,0.752382,2.3528,4.64942,5.93617,11.2356,7.59002,11.9907,1.61048,0.796572
box,0.744272,2.2281,4.65291,6.01702,-11.3696,-7.14121,11.9056,1.64201,0.904281
hammer,0.121727,0.508769,0.269017,0.574102,0.995711,0.829607,-2.81587,1.83495,0.241344
hammer,0.0633881,0.252399,0.310725,0.541372,0.967655,0.672225,-2.45141,2.50083,0.256118
hammer,0.170906,0.576983,0.463612,0.773138,1.39162,1.06323,3.04186,2.00149,0.256218
hammer,0.165734,0.598664,0.417488,0.749254,1.33272,1.0499,3.01639,1.92056,0.244422
hammer,0.0780161,0.265616,0.448097,0.687078,1.25467,0.819886,-3.74875,2.31305,0.266352
hammer,0.0767896,0.272031,0.416801,0.665201,1.20623,0.801346,3.18189,2.27304,0.258512
hammer,0.350482,1.55863,0.835973,1.28738,2.34906,2.06759,-5.11407,1.41901,0.270305
dog,0.734798,2.45284,2.85395,4.13162,-7.64881,-5.37438,-8.11109,1.36917,0.695841
dog,0.746137,2.78155,3.13787,4.15768,-7.98599,-5.76204,7.92959,1.18902,0.720384
dog,0.746918,2.43022,3.11814,4.46279,-8.31578,-5.72204,8.5541,1.53038,0.765032
dog,0.750729,3.05984,3.07135,4.22738,-7.88525,-5.77563,8.58439,1.10232,0.753054
dog,0.723303,2.17248,3.10654,4.13089,9.13538,-5.77808,7.74997,1.58455,0.754405
dog,0.73199,2.36881,2.97787,3.98401,8.00867,-6.19906,-7.48347,1.47192,0.697328
mouse,0.771686,2.60039,4.95728,6.36569,-12.3385,-8.04497,12.0863,1.34349,0.868278
mouse,0.740879,2.14101,4.41711,5.83782,-11.556,-7.5048,-10.9801,1.65874,0.837736
mouse,0.759428,2.33858,4.22655,5.42637,10.3506,6.70493,-10.4732,1.40097,0.81073
mouse,0.754562,2.26946,4.45578,5.58231,10.6648,6.79011,-10.8995,1.50502,0.799405
mouse,0.735045,2.08696,4.14305,5.26439,10.1382,6.53501,10.1007,1.70265,0.819348
mouse,0.774016,2.5607,5.70399,7.39066,14.353,9.16243,-13.9727,1.40071,0.844964
mouse,0.73757,2.10756,4.12143,5.24575,10.0323,6.44477,10.1409,1.69846,0.807845
book,0.747548,2.84383,3.41015,4.48423,8.49449,-6.51466,8.73068,1.53177,0.620594
book,0.732628,2.32624,3.60299,4.06048,7.92449,5.2601,8.32211,1.88224,0.582635
book,0.71138,1.98601,4.10483,5.54063,10.5384,6.75985,-10.4918,1.80054,0.796442
book,0.732647,2.32706,3.60361,4.0619,7.92774,5.26187,8.31956,1.88224,0.582679
book,0.772593,3.23384,3.70188,6.31052,11.4946,8.28822,-11.4429,1.03546,0.86926
